game_num,date,home_away,opponent,result,pts_scored,pts_allowed,wins,losses,streak,team,season
1,"Wed, Oct 19, 2022",home,Houston Rockets,W,117,107,1,0,W 1,ATL,2023
2,"Fri, Oct 21, 2022",home,Orlando Magic,W,108,98,2,0,W 2,ATL,2023
3,"Sun, Oct 23, 2022",home,Charlotte Hornets,L,109,126,2,1,L 1,ATL,2023
4,"Wed, Oct 26, 2022",away,Detroit Pistons,W,118,113,3,1,W 1,ATL,2023
5,"Fri, Oct 28, 2022",away,Detroit Pistons,W,136,112,4,1,W 2,ATL,2023
6,"Sat, Oct 29, 2022",away,Milwaukee Bucks,L,115,123,4,2,L 1,ATL,2023
7,"Mon, Oct 31, 2022",away,Toronto Raptors,L,109,139,4,3,L 2,ATL,2023
8,"Wed, Nov 2, 2022",away,New York Knicks,W,112,99,5,3,W 1,ATL,2023
9,"Sat, Nov 5, 2022",home,New Orleans Pelicans,W,124,121,6,3,W 2,ATL,2023
10,"Mon, Nov 7, 2022",home,Milwaukee Bucks,W,117,98,7,3,W 3,ATL,2023
11,"Wed, Nov 9, 2022",home,Utah Jazz,L,119,125,7,4,L 1,ATL,2023
12,"Thu, Nov 10, 2022",home,Philadelphia 76ers,W,104,95,8,4,W 1,ATL,2023
13,"Sat, Nov 12, 2022",away,Philadelphia 76ers,L,109,121,8,5,L 1,ATL,2023
14,"Mon, Nov 14, 2022",away,Milwaukee Bucks,W,121,106,9,5,W 1,ATL,2023
15,"Wed, Nov 16, 2022",home,Boston Celtics,L,101,126,9,6,L 1,ATL,2023
16,"Sat, Nov 19, 2022",home,Toronto Raptors,W,124,122,10,6,W 1,ATL,2023
17,"Mon, Nov 21, 2022",away,Cleveland Cavaliers,L,102,114,10,7,L 1,ATL,2023
18,"Wed, Nov 23, 2022",home,Sacramento Kings,W,115,106,11,7,W 1,ATL,2023
19,"Fri, Nov 25, 2022",away,Houston Rockets,L,122,128,11,8,L 1,ATL,2023
20,"Sun, Nov 27, 2022",home,Miami Heat,L,98,106,11,9,L 2,ATL,2023
21,"Mon, Nov 28, 2022",away,Philadelphia 76ers,L,101,104,11,10,L 3,ATL,2023
22,"Wed, Nov 30, 2022",away,Orlando Magic,W,125,108,12,10,W 1,ATL,2023
23,"Fri, Dec 2, 2022",home,Denver Nuggets,W,117,109,13,10,W 2,ATL,2023
24,"Mon, Dec 5, 2022",home,Oklahoma City Thunder,L,114,121,13,11,L 1,ATL,2023
25,"Wed, Dec 7, 2022",away,New York Knicks,L,89,113,13,12,L 2,ATL,2023
26,"Fri, Dec 9, 2022",away,Brooklyn Nets,L,116,120,13,13,L 3,ATL,2023
27,"Sun, Dec 11, 2022",home,Chicago Bulls,W,123,122,14,13,W 1,ATL,2023
28,"Mon, Dec 12, 2022",away,Memphis Grizzlies,L,103,128,14,14,L 1,ATL,2023
29,"Wed, Dec 14, 2022",away,Orlando Magic,L,124,135,14,15,L 2,ATL,2023
30,"Fri, Dec 16, 2022",away,Charlotte Hornets,W,125,106,15,15,W 1,ATL,2023
31,"Mon, Dec 19, 2022",home,Orlando Magic,W,126,125,16,15,W 2,ATL,2023
32,"Wed, Dec 21, 2022",home,Chicago Bulls,L,108,110,16,16,L 1,ATL,2023
33,"Fri, Dec 23, 2022",home,Detroit Pistons,W,130,105,17,16,W 1,ATL,2023
34,"Tue, Dec 27, 2022",away,Indiana Pacers,L,114,129,17,17,L 1,ATL,2023
35,"Wed, Dec 28, 2022",home,Brooklyn Nets,L,107,108,17,18,L 2,ATL,2023
36,"Fri, Dec 30, 2022",home,Los Angeles Lakers,L,121,130,17,19,L 3,ATL,2023
37,"Mon, Jan 2, 2023",away,Golden State Warriors,L,141,143,17,20,L 4,ATL,2023
38,"Wed, Jan 4, 2023",away,Sacramento Kings,W,120,117,18,20,W 1,ATL,2023
39,"Fri, Jan 6, 2023",away,Los Angeles Lakers,L,114,130,18,21,L 1,ATL,2023
40,"Sun, Jan 8, 2023",away,Los Angeles Clippers,W,112,108,19,21,W 1,ATL,2023
41,"Wed, Jan 11, 2023",home,Milwaukee Bucks,L,105,114,19,22,L 1,ATL,2023
42,"Fri, Jan 13, 2023",away,Indiana Pacers,W,113,111,20,22,W 1,ATL,2023
43,"Sat, Jan 14, 2023",away,Toronto Raptors,W,114,103,21,22,W 2,ATL,2023
44,"Mon, Jan 16, 2023",home,Miami Heat,W,121,113,22,22,W 3,ATL,2023
