team,date,season,star1_played,star2_played,star3_played,stars_available,star1_absent,star2_absent
ATL,2022-10-19,2023,1,1,1,3,0,0
ATL,2022-10-21,2023,1,1,1,3,0,0
ATL,2022-10-23,2023,1,1,1,3,0,0
ATL,2022-10-26,2023,1,1,1,3,0,0
ATL,2022-10-28,2023,1,1,1,3,0,0
ATL,2022-10-29,2023,1,1,1,3,0,0
ATL,2022-10-31,2023,1,1,1,3,0,0
ATL,2022-11-02,2023,1,1,1,3,0,0
ATL,2022-11-05,2023,1,1,1,3,0,0
ATL,2022-11-07,2023,1,0,1,2,0,1
ATL,2022-11-09,2023,1,1,1,3,0,0
ATL,2022-11-10,2023,1,1,1,3,0,0
ATL,2022-11-12,2023,1,1,1,3,0,0
ATL,2022-11-14,2023,1,1,1,3,0,0
ATL,2022-11-16,2023,1,1,1,3,0,0
ATL,2022-11-19,2023,1,1,1,3,0,0
ATL,2022-11-21,2023,1,1,0,2,0,0
ATL,2022-11-23,2023,1,1,1,3,0,0
ATL,2022-11-25,2023,1,1,1,3,0,0
ATL,2022-11-27,2023,1,1,1,3,0,0
ATL,2022-11-28,2023,1,1,1,3,0,0
ATL,2022-11-30,2023,1,1,1,3,0,0
ATL,2022-12-02,2023,1,0,0,1,0,1
ATL,2022-12-05,2023,1,1,0,2,0,0
ATL,2022-12-07,2023,1,1,0,2,0,0
ATL,2022-12-09,2023,0,1,0,1,1,0
ATL,2022-12-11,2023,0,1,1,2,1,0
ATL,2022-12-12,2023,0,0,1,1,1,1
ATL,2022-12-14,2023,0,1,1,2,1,0
ATL,2022-12-16,2023,0,1,1,2,1,0
ATL,2022-12-19,2023,1,1,1,3,0,0
ATL,2022-12-21,2023,1,1,1,3,0,0
ATL,2022-12-23,2023,1,1,1,3,0,0
ATL,2022-12-27,2023,1,1,0,2,0,0
ATL,2022-12-28,2023,1,0,0,1,0,1
ATL,2022-12-30,2023,1,1,0,2,0,0
ATL,2023-01-02,2023,1,1,1,3,0,0
ATL,2023-01-04,2023,1,1,1,3,0,0
ATL,2023-01-06,2023,1,1,1,3,0,0
ATL,2023-01-08,2023,1,1,1,3,0,0
ATL,2023-01-11,2023,1,0,1,2,0,1
ATL,2023-01-13,2023,1,1,1,3,0,0
ATL,2023-01-14,2023,1,1,1,3,0,0
ATL,2023-01-16,2023,1,1,1,3,0,0
ATL,2023-01-18,2023,1,1,1,3,0,0
ATL,2023-01-20,2023,1,1,1,3,0,0
ATL,2023-01-21,2023,1,1,1,3,0,0
ATL,2023-01-23,2023,1,1,0,2,0,0
ATL,2023-01-25,2023,1,1,0,2,0,0
ATL,2023-01-28,2023,1,1,1,3,0,0
ATL,2023-01-30,2023,1,0,1,2,0,1
ATL,2023-02-01,2023,1,1,1,3,0,0
ATL,2023-02-03,2023,1,1,1,3,0,0
ATL,2023-02-04,2023,1,0,1,2,0,1
ATL,2023-02-07,2023,1,1,1,3,0,0
ATL,2023-02-09,2023,1,1,1,3,0,0
ATL,2023-02-11,2023,1,1,1,3,0,0
ATL,2023-02-13,2023,1,1,1,3,0,0
ATL,2023-02-15,2023,1,1,1,3,0,0
ATL,2023-02-24,2023,1,1,1,3,0,0
ATL,2023-02-26,2023,1,1,1,3,0,0
ATL,2023-02-28,2023,1,1,1,3,0,0
ATL,2023-03-03,2023,1,1,1,3,0,0
ATL,2023-03-04,2023,1,1,1,3,0,0
ATL,2023-03-06,2023,1,1,1,3,0,0
ATL,2023-03-08,2023,1,1,1,3,0,0
ATL,2023-03-10,2023,1,1,1,3,0,0
ATL,2023-03-11,2023,1,1,1,3,0,0
ATL,2023-03-13,2023,1,1,1,3,0,0
ATL,2023-03-17,2023,1,1,1,3,0,0
ATL,2023-03-19,2023,1,1,1,3,0,0
ATL,2023-03-21,2023,0,1,1,2,1,0
ATL,2023-03-22,2023,0,1,1,2,1,0
