Date,PTS,TRB,AST,player,team,player_rank
2024-10-23,30,5,12,Trae Young,ATL,1
2024-10-25,38,8,10,Trae Young,ATL,1
2024-10-27,24,1,8,Trae Young,ATL,1
2024-10-28,14,8,13,Trae Young,ATL,1
2024-10-30,35,4,15,Trae Young,ATL,1
2024-11-01,25,5,12,Trae Young,ATL,1
2024-11-03,23,4,12,Trae Young,ATL,1
2024-11-04,2,0,6,Trae Young,ATL,1
2024-11-06,23,6,10,Trae Young,ATL,1
2024-11-08,35,2,13,Trae Young,ATL,1
2024-11-09,14,3,16,Trae Young,ATL,1
2024-11-15,18,2,9,Trae Young,ATL,1
2024-11-17,29,5,8,Trae Young,ATL,1
2024-11-18,7,3,19,Trae Young,ATL,1
2024-11-20,12,3,11,Trae Young,ATL,1
2024-11-22,25,1,13,Trae Young,ATL,1
2024-11-25,18,2,16,Trae Young,ATL,1
2024-11-27,20,4,22,Trae Young,ATL,1
2024-11-29,21,3,11,Trae Young,ATL,1
2024-11-30,14,4,5,Trae Young,ATL,1
2024-12-02,12,8,15,Trae Young,ATL,1
2024-12-04,17,4,7,Trae Young,ATL,1
2024-12-06,31,4,20,Trae Young,ATL,1
2024-12-08,15,4,10,Trae Young,ATL,1
2024-12-11,22,5,11,Trae Young,ATL,1
2024-12-14,35,7,10,Trae Young,ATL,1
2024-12-19,23,0,16,Trae Young,ATL,1
2024-12-23,29,2,7,Trae Young,ATL,1
2024-12-26,27,2,13,Trae Young,ATL,1
2024-12-28,11,1,15,Trae Young,ATL,1
2024-12-29,34,2,10,Trae Young,ATL,1
2025-01-01,30,4,9,Trae Young,ATL,1
2025-01-03,33,0,9,Trae Young,ATL,1
2025-01-04,20,4,14,Trae Young,ATL,1
2025-01-07,24,2,20,Trae Young,ATL,1
2025-01-09,21,2,7,Trae Young,ATL,1
2025-01-14,43,3,5,Trae Young,ATL,1
2025-01-18,28,4,11,Trae Young,ATL,1
2025-01-20,27,3,6,Trae Young,ATL,1
2025-01-22,13,2,9,Trae Young,ATL,1
2025-01-23,18,1,13,Trae Young,ATL,1
2025-01-25,16,4,4,Trae Young,ATL,1
2025-01-28,21,3,9,Trae Young,ATL,1
2025-01-30,15,1,10,Trae Young,ATL,1
2025-02-01,34,3,17,Trae Young,ATL,1
2025-02-03,34,0,9,Trae Young,ATL,1
2025-02-05,32,2,12,Trae Young,ATL,1
2025-02-07,24,3,7,Trae Young,ATL,1
2025-02-08,35,2,14,Trae Young,ATL,1
2025-02-10,19,5,8,Trae Young,ATL,1
2025-02-12,38,1,19,Trae Young,ATL,1
2025-02-20,38,3,6,Trae Young,ATL,1
2025-02-23,38,2,13,Trae Young,ATL,1
2025-02-24,11,3,14,Trae Young,ATL,1
2025-02-26,17,2,8,Trae Young,ATL,1
2025-02-28,19,3,12,Trae Young,ATL,1
2025-03-03,12,2,15,Trae Young,ATL,1
2025-03-04,28,2,13,Trae Young,ATL,1
2025-03-06,22,3,16,Trae Young,ATL,1
2025-03-08,36,4,8,Trae Young,ATL,1
2025-03-12,35,7,12,Trae Young,ATL,1
2025-03-14,17,4,7,Trae Young,ATL,1
2025-03-16,28,6,12,Trae Young,ATL,1
2025-03-18,31,2,8,Trae Young,ATL,1
2025-03-22,25,5,10,Trae Young,ATL,1
2025-03-23,28,1,12,Trae Young,ATL,1
2025-03-25,19,2,12,Trae Young,ATL,1
2025-03-27,29,2,12,Trae Young,ATL,1
2025-03-30,19,3,19,Trae Young,ATL,1
2025-04-01,29,4,15,Trae Young,ATL,1
2025-04-02,25,4,12,Trae Young,ATL,1
2025-04-05,16,1,9,Trae Young,ATL,1
2025-04-06,23,5,15,Trae Young,ATL,1
2025-04-08,28,1,10,Trae Young,ATL,1
2025-04-10,24,1,12,Trae Young,ATL,1
2025-04-11,36,3,11,Trae Young,ATL,1
2024-10-23,11,10,4,Jalen Johnson,ATL,2
2024-10-25,16,7,3,Jalen Johnson,ATL,2
2024-10-27,7,9,2,Jalen Johnson,ATL,2
2024-10-28,29,12,7,Jalen Johnson,ATL,2
2024-10-30,21,17,4,Jalen Johnson,ATL,2
2024-11-01,14,5,9,Jalen Johnson,ATL,2
2024-11-03,29,9,8,Jalen Johnson,ATL,2
2024-11-04,20,11,4,Jalen Johnson,ATL,2
2024-11-06,23,15,7,Jalen Johnson,ATL,2
2024-11-08,20,9,1,Jalen Johnson,ATL,2
2024-11-09,20,6,5,Jalen Johnson,ATL,2
2024-11-12,18,12,10,Jalen Johnson,ATL,2
