Date,PTS,TRB,AST,player,team,player_rank,season
2022-10-19,20,5,11,Dejounte Murray,ATL,1,2023
2022-10-21,20,9,9,Dejounte Murray,ATL,1,2023
2022-10-23,19,8,5,Dejounte Murray,ATL,1,2023
2022-10-26,14,8,8,Dejounte Murray,ATL,1,2023
2022-10-28,26,4,5,Dejounte Murray,ATL,1,2023
2022-10-29,21,5,6,Dejounte Murray,ATL,1,2023
2022-10-31,20,4,9,Dejounte Murray,ATL,1,2023
2022-11-02,36,4,9,Dejounte Murray,ATL,1,2023
2022-11-05,22,10,11,Dejounte Murray,ATL,1,2023
2022-11-07,25,8,11,Dejounte Murray,ATL,1,2023
2022-11-09,26,6,5,Dejounte Murray,ATL,1,2023
2022-11-10,10,3,8,Dejounte Murray,ATL,1,2023
2022-11-12,23,8,7,Dejounte Murray,ATL,1,2023
2022-11-14,19,8,5,Dejounte Murray,ATL,1,2023
2022-11-16,19,3,5,Dejounte Murray,ATL,1,2023
2022-11-19,17,7,4,Dejounte Murray,ATL,1,2023
2022-11-21,11,4,6,Dejounte Murray,ATL,1,2023
2022-11-23,15,7,4,Dejounte Murray,ATL,1,2023
2022-11-25,39,3,3,Dejounte Murray,ATL,1,2023
2022-11-27,13,5,2,Dejounte Murray,ATL,1,2023
2022-11-28,17,5,6,Dejounte Murray,ATL,1,2023
2022-11-30,27,3,6,Dejounte Murray,ATL,1,2023
2022-12-02,34,3,8,Dejounte Murray,ATL,1,2023
2022-12-05,24,6,3,Dejounte Murray,ATL,1,2023
2022-12-07,2,0,0,Dejounte Murray,ATL,1,2023
2022-12-19,17,5,3,Dejounte Murray,ATL,1,2023
2022-12-21,15,5,10,Dejounte Murray,ATL,1,2023
2022-12-23,26,3,5,Dejounte Murray,ATL,1,2023
2022-12-27,14,2,3,Dejounte Murray,ATL,1,2023
2022-12-28,24,9,8,Dejounte Murray,ATL,1,2023
2022-12-30,20,7,9,Dejounte Murray,ATL,1,2023
2023-01-02,25,10,7,Dejounte Murray,ATL,1,2023
2023-01-04,21,6,4,Dejounte Murray,ATL,1,2023
2023-01-06,16,1,6,Dejounte Murray,ATL,1,2023
2023-01-08,16,5,4,Dejounte Murray,ATL,1,2023
2023-01-11,9,4,5,Dejounte Murray,ATL,1,2023
2023-01-13,18,8,6,Dejounte Murray,ATL,1,2023
2023-01-14,27,8,6,Dejounte Murray,ATL,1,2023
2023-01-16,28,4,7,Dejounte Murray,ATL,1,2023
2023-01-18,30,7,4,Dejounte Murray,ATL,1,2023
2023-01-20,29,6,12,Dejounte Murray,ATL,1,2023
2023-01-21,26,3,3,Dejounte Murray,ATL,1,2023
2023-01-23,20,7,4,Dejounte Murray,ATL,1,2023
2023-01-25,21,2,3,Dejounte Murray,ATL,1,2023
2023-01-28,15,6,8,Dejounte Murray,ATL,1,2023
2023-01-30,40,8,7,Dejounte Murray,ATL,1,2023
2023-02-01,21,6,8,Dejounte Murray,ATL,1,2023
2023-02-03,13,5,8,Dejounte Murray,ATL,1,2023
2023-02-04,28,4,10,Dejounte Murray,ATL,1,2023
2023-02-07,19,5,7,Dejounte Murray,ATL,1,2023
2023-02-09,19,8,5,Dejounte Murray,ATL,1,2023
2023-02-11,18,7,3,Dejounte Murray,ATL,1,2023
2023-02-13,20,5,4,Dejounte Murray,ATL,1,2023
2023-02-15,6,5,3,Dejounte Murray,ATL,1,2023
2023-02-24,25,9,8,Dejounte Murray,ATL,1,2023
2023-02-26,28,3,4,Dejounte Murray,ATL,1,2023
2023-02-28,15,2,5,Dejounte Murray,ATL,1,2023
2023-03-03,41,5,6,Dejounte Murray,ATL,1,2023
2023-03-04,10,5,3,Dejounte Murray,ATL,1,2023
2023-03-06,23,4,8,Dejounte Murray,ATL,1,2023
2023-03-08,17,4,6,Dejounte Murray,ATL,1,2023
2023-03-10,16,7,7,Dejounte Murray,ATL,1,2023
2023-03-11,14,4,4,Dejounte Murray,ATL,1,2023
2023-03-13,11,5,2,Dejounte Murray,ATL,1,2023
2023-03-17,10,7,9,Dejounte Murray,ATL,1,2023
2023-03-19,22,6,8,Dejounte Murray,ATL,1,2023
2023-03-25,20,2,12,Dejounte Murray,ATL,1,2023
2023-03-26,13,2,9,Dejounte Murray,ATL,1,2023
2023-03-28,29,4,5,Dejounte Murray,ATL,1,2023
