team,star1_Player,star2_Player,star3_Player,star1_MP,star2_MP,star3_MP,star1_PTS,star2_PTS,star3_PTS,star1_TRB,star2_TRB,star3_TRB,star1_AST,star2_AST,star3_AST,star1_STL,star2_STL,star3_STL,star1_BLK,star2_BLK,star3_BLK,star1_eFG%,star2_eFG%,star3_eFG%,star1_TOV,star2_TOV,star3_TOV,top_combined_pts,top_combined_ast,top_combined_reb,star1_dominance
ATL,Trae Young,Jalen Johnson,Dyson Daniels,36.0,35.7,33.8,24.2,18.9,14.1,3.1,10.0,5.9,11.6,5.0,4.4,1.2,1.6,3.0,0.2,1.0,0.7,0.491,0.541,0.536,4.7,2.9,2.0,57.199999999999996,21.0,19.0,0.4230769230769231
BOS,Jayson Tatum,Jaylen Brown,Derrick White,36.4,34.3,33.9,26.8,22.2,16.4,8.7,5.8,4.5,6.0,4.5,4.8,1.1,1.2,0.9,0.5,0.3,1.1,0.537,0.515,0.58,2.9,2.6,1.7,65.4,15.3,19.0,0.4097859327217125
BRK,Cameron Johnson,Cam Thomas,Nic Claxton,31.6,31.2,26.9,18.8,24.0,10.3,4.3,3.3,7.4,3.4,3.8,2.2,0.9,0.6,0.9,0.4,0.1,1.4,0.582,0.513,0.568,1.7,2.5,1.2,53.099999999999994,9.399999999999999,15.0,0.3540489642184558
CHI,Coby White,Nikola Vučević,Ayo Dosunmu,33.1,31.2,30.3,20.4,18.5,12.3,3.7,10.1,3.5,4.5,3.5,4.5,0.9,0.8,0.9,0.2,0.7,0.4,0.55,0.592,0.561,2.4,1.6,1.5,51.2,12.5,17.3,0.39843749999999994
CHO,Brandon Miller,LaMelo Ball,Miles Bridges,34.2,32.0,31.7,21.0,25.2,20.3,4.9,4.9,7.5,3.6,7.4,3.9,1.1,1.1,0.7,0.7,0.3,0.7,0.509,0.494,0.495,2.8,3.6,2.1,66.5,14.9,17.3,0.3157894736842105
CLE,Donovan Mitchell,Darius Garland,Evan Mobley,31.4,30.7,30.5,24.0,20.6,18.5,4.5,2.9,9.3,5.0,6.7,3.2,1.3,1.2,0.9,0.2,0.1,1.6,0.531,0.562,0.604,2.1,2.5,2.0,63.1,14.899999999999999,16.700000000000003,0.3803486529318542
DAL,Kyrie Irving,P.J. Washington,Max Christie,36.1,32.2,30.4,24.7,14.7,11.2,4.8,7.8,4.2,4.6,2.3,2.5,1.3,1.1,0.9,0.5,1.1,0.3,0.549,0.521,0.502,2.2,2.1,1.5,50.599999999999994,9.399999999999999,16.8,0.48814229249011865
DEN,Nikola Jokić,Jamal Murray,Christian Braun,36.7,36.1,33.9,29.6,21.4,15.4,12.7,3.9,5.2,10.2,6.0,2.6,1.8,1.4,1.1,0.6,0.5,0.5,0.627,0.543,0.634,3.3,2.1,1.0,66.4,18.8,21.799999999999997,0.4457831325301205
DET,Cade Cunningham,Tobias Harris,Jaden Ivey,35.0,31.6,29.9,26.1,13.7,17.6,6.1,5.9,4.1,9.1,2.2,4.0,1.0,1.0,0.9,0.8,0.8,0.4,0.521,0.534,0.536,4.4,1.2,3.0,57.4,15.3,16.1,0.4547038327526133
GSW,Jimmy Butler,Stephen Curry,Draymond Green,32.7,32.2,29.2,17.9,24.5,9.0,5.5,4.4,6.1,5.9,6.0,5.6,1.7,1.1,1.5,0.3,0.4,1.0,0.504,0.572,0.503,1.5,2.9,2.6,51.4,17.5,16.0,0.34824902723735407
