team,star1_Player,star2_Player,star3_Player,star1_MP,star2_MP,star3_MP,star1_PTS,star2_PTS,star3_PTS,star1_TRB,star2_TRB,star3_TRB,star1_AST,star2_AST,star3_AST,star1_STL,star2_STL,star3_STL,star1_BLK,star2_BLK,star3_BLK,star1_eFG%,star2_eFG%,star3_eFG%,star1_TOV,star2_TOV,star3_TOV,top_combined_pts,top_combined_ast,top_combined_reb,star1_dominance,season
ATL,Dejounte Murray,Trae Young,De'Andre Hunter,36.4,34.8,31.7,20.5,26.2,15.4,5.3,3.0,4.2,6.1,10.2,1.4,1.5,1.1,0.5,0.3,0.1,0.3,0.514,0.485,0.522,2.2,4.1,1.2,62.1,17.699999999999996,12.5,0.3301127214170692,2023
BOS,Jayson Tatum,Jaylen Brown,Marcus Smart,36.9,35.9,32.1,30.1,26.6,11.5,8.8,6.9,3.1,4.6,3.5,6.3,1.1,1.1,1.5,0.7,0.4,0.4,0.543,0.55,0.511,2.9,2.9,2.3,68.2,14.399999999999999,18.8,0.4413489736070381,2023
BRK,Spencer Dinwiddie,Mikal Bridges,Royce O'Neale,35.3,34.2,31.7,16.5,26.1,8.8,4.1,4.5,5.1,9.1,2.7,3.7,1.1,1.0,0.9,0.3,0.6,0.6,0.465,0.543,0.524,2.1,1.8,1.5,51.400000000000006,15.5,13.7,0.32101167315175094,2023
CHI,DeMar DeRozan,Zach LaVine,Nikola Vučević,36.2,35.9,33.5,24.5,24.8,17.6,4.6,4.5,11.0,5.1,4.2,3.2,1.1,0.9,0.7,0.5,0.2,0.7,0.522,0.558,0.573,2.1,2.5,1.7,66.9,12.5,20.1,0.3662182361733931,2023
CHO,Terry Rozier,LaMelo Ball,P.J. Washington,35.3,35.2,32.6,21.1,23.3,15.7,4.1,6.4,4.9,5.1,8.4,2.4,1.2,1.3,0.9,0.3,0.3,1.1,0.484,0.51,0.52,2.1,3.6,1.5,60.10000000000001,15.9,15.4,0.3510815307820299,2023
CLE,Donovan Mitchell,Darius Garland,Evan Mobley,35.8,35.5,34.4,28.3,21.6,16.2,4.3,2.7,9.0,4.4,7.8,2.8,1.5,1.2,0.8,0.4,0.1,1.5,0.572,0.537,0.566,2.6,2.9,1.8,66.10000000000001,15.0,16.0,0.42813918305597576,2023
DAL,Kyrie Irving,Luka Dončić,Tim Hardaway Jr.,38.2,36.2,30.3,27.0,32.4,14.4,5.0,8.6,3.5,6.0,8.0,1.8,1.3,1.4,0.7,0.6,0.5,0.2,0.586,0.56,0.527,1.9,3.6,0.8,73.8,15.8,17.1,0.36585365853658536,2023
DEN,Nikola Jokić,Jamal Murray,Kentavious Caldwell-Pope,33.7,32.8,31.3,24.5,20.0,10.8,11.8,4.0,2.7,9.8,6.2,2.4,1.3,1.0,1.5,0.7,0.2,0.5,0.66,0.537,0.569,3.6,2.2,1.1,55.3,18.4,18.5,0.44303797468354433,2023
DET,Bojan Bogdanović,Jaden Ivey,Isaiah Stewart,32.1,31.1,28.3,21.6,16.3,11.3,3.8,3.9,8.1,2.6,5.2,1.4,0.6,0.8,0.4,0.1,0.2,0.7,0.57,0.477,0.518,2.3,3.2,1.4,49.2,9.200000000000001,15.799999999999999,0.43902439024390244,2023
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,34.7,33.0,32.2,29.4,21.9,17.1,6.1,4.1,5.0,6.3,2.4,2.3,0.9,0.7,1.2,0.4,0.4,0.8,0.614,0.556,0.557,3.2,1.8,1.3,68.4,11.0,15.2,0.4298245614035087,2023
HOU,Kevin Porter Jr.,Jalen Green,Jabari Smith Jr.,34.3,34.2,31.0,19.2,22.1,12.8,5.3,3.7,7.2,5.7,3.7,1.3,1.4,0.8,0.5,0.3,0.2,0.9,0.522,0.485,0.475,3.2,2.6,1.3,54.099999999999994,10.700000000000001,16.2,0.3548983364140481,2023
IND,Tyrese Haliburton,Buddy Hield,Myles Turner,33.6,31.0,29.4,20.7,16.8,18.0,3.7,5.0,7.5,10.4,2.8,1.4,1.6,1.2,0.6,0.4,0.3,2.3,0.586,0.596,0.612,2.5,1.7,1.7,55.5,14.6,16.2,0.37297297297297294,2023
LAC,Paul George,Kawhi Leonard,Russell Westbrook,34.6,33.6,30.2,23.8,23.8,15.8,6.1,6.5,4.9,5.1,3.9,7.6,1.5,1.4,1.1,0.4,0.5,0.5,0.536,0.572,0.538,3.1,1.7,3.4,63.400000000000006,16.6,17.5,0.3753943217665615,2023
LAL,LeBron James,Anthony Davis,Dennis Schröder,35.5,34.0,30.1,28.9,25.9,12.6,8.3,12.5,2.5,6.8,2.6,4.5,0.9,1.1,0.8,0.6,2.0,0.2,0.549,0.573,0.472,3.2,2.2,1.7,67.39999999999999,13.9,23.3,0.42878338278931755,2023
MEM,Ja Morant,Desmond Bane,Dillon Brooks,31.9,31.7,30.3,26.2,21.5,14.3,5.9,5.0,3.3,8.1,4.4,2.6,1.1,1.0,0.9,0.3,0.4,0.2,0.504,0.568,0.468,3.4,2.2,1.4,62.0,15.1,14.2,0.4225806451612903,2023
MIA,Tyler Herro,Bam Adebayo,Jimmy Butler,34.9,34.6,33.4,20.1,20.4,22.9,5.4,9.2,5.9,4.2,3.2,5.3,0.8,1.2,1.8,0.2,0.8,0.3,0.531,0.541,0.56,2.4,2.5,1.6,63.4,12.7,20.5,0.31703470031545744,2023
MIL,Jrue Holiday,Giannis Antetokounmpo,Brook Lopez,32.6,32.1,30.4,19.3,31.1,15.9,5.1,11.8,6.7,7.4,5.7,1.3,1.2,0.8,0.5,0.4,0.8,2.5,0.556,0.572,0.606,2.9,3.9,1.4,66.30000000000001,14.400000000000002,23.599999999999998,0.2911010558069381,2023
MIN,Anthony Edwards,Karl-Anthony Towns,Mike Conley,36.0,33.0,31.4,24.6,20.8,14.0,5.8,8.1,3.1,4.4,4.8,5.0,1.6,0.7,1.2,0.7,0.6,0.2,0.528,0.565,0.583,3.3,3.0,1.2,59.400000000000006,14.2,17.0,0.41414141414141414,2023
NOP,CJ McCollum,Brandon Ingram,Zion Williamson,35.3,34.2,33.0,20.9,24.7,26.0,4.4,5.5,7.0,5.7,5.8,4.6,0.9,0.7,1.1,0.5,0.4,0.6,0.515,0.522,0.615,2.4,3.3,3.4,71.6,16.1,16.9,0.2918994413407821,2023
NYK,Julius Randle,Jalen Brunson,RJ Barrett,35.5,35.0,33.9,25.1,24.0,19.6,10.0,3.5,5.0,4.1,6.2,2.8,0.6,0.9,0.4,0.3,0.2,0.2,0.536,0.547,0.485,2.8,2.1,2.2,68.7,13.100000000000001,18.5,0.3653566229985444,2023
OKC,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,35.5,31.1,30.7,31.4,16.6,13.7,4.8,7.9,4.6,5.5,6.2,2.1,1.6,0.8,1.0,1.0,0.4,0.3,0.531,0.516,0.466,2.8,2.8,1.2,61.7,13.799999999999999,17.299999999999997,0.5089141004862237,2023
ORL,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,33.8,32.6,29.6,20.0,18.6,15.2,6.9,4.1,8.7,3.7,3.5,2.3,0.8,1.0,0.5,0.5,0.2,0.6,0.465,0.543,0.591,2.8,2.1,1.9,53.8,9.5,19.7,0.3717472118959108,2023
PHI,James Harden,Joel Embiid,Tyrese Maxey,36.8,34.6,33.6,21.0,33.1,20.3,6.1,10.2,2.9,10.7,4.2,3.5,1.2,1.0,0.8,0.5,1.7,0.1,0.536,0.573,0.568,3.4,3.4,1.3,74.4,18.4,19.199999999999996,0.282258064516129,2023
PHO,Devin Booker,Chris Paul,Deandre Ayton,34.6,32.0,30.4,27.8,13.9,18.0,4.5,4.3,10.0,5.5,8.9,1.7,1.0,1.5,0.6,0.3,0.4,0.8,0.546,0.513,0.592,2.7,1.9,1.8,59.7,16.1,18.8,0.4656616415410385,2023
POR,Damian Lillard,Jerami Grant,Anfernee Simons,36.3,35.7,35.0,32.2,20.5,21.1,4.8,4.5,2.6,7.3,2.4,4.1,0.9,0.8,0.7,0.3,0.8,0.2,0.564,0.554,0.548,3.3,1.8,2.1,73.80000000000001,13.799999999999999,11.9,0.4363143631436314,2023
SAC,Domantas Sabonis,De'Aaron Fox,Harrison Barnes,34.6,33.4,32.5,19.1,25.0,15.0,12.3,4.2,4.5,7.3,6.1,1.6,0.8,1.1,0.7,0.5,0.3,0.1,0.632,0.557,0.556,2.9,2.5,1.0,59.1,14.999999999999998,21.0,0.32318104906937395,2023
SAS,Keldon Johnson,Devin Vassell,Tre Jones,32.7,31.0,29.2,22.0,18.5,12.9,5.0,3.9,3.6,2.9,3.6,6.6,0.7,1.1,1.3,0.2,0.4,0.1,0.512,0.525,0.489,2.1,1.5,1.6,53.4,13.1,12.5,0.41198501872659177,2023
TOR,Pascal Siakam,Fred VanVleet,OG Anunoby,37.4,36.7,35.6,24.2,19.3,16.8,7.8,4.1,5.0,5.8,7.2,2.0,0.9,1.8,1.9,0.5,0.6,0.7,0.515,0.486,0.556,2.4,2.0,2.0,60.3,15.0,16.9,0.4013266998341625,2023
UTA,Lauri Markkanen,Jordan Clarkson,Kelly Olynyk,34.4,32.6,28.6,25.6,20.8,12.5,8.6,4.0,6.2,1.9,4.4,3.7,0.6,0.5,0.9,0.6,0.2,0.5,0.586,0.519,0.583,1.9,3.0,2.5,58.900000000000006,10.0,18.8,0.43463497453310695,2023
WAS,Kyle Kuzma,Bradley Beal,Kristaps Porziņģis,35.0,33.5,32.6,21.2,23.2,23.2,7.2,3.9,8.4,3.7,5.4,2.7,0.6,0.9,0.9,0.5,0.7,1.5,0.518,0.551,0.565,3.0,2.9,2.1,67.6,11.8,19.5,0.3136094674556213,2023
ATL,Trae Young,Dejounte Murray,Jalen Johnson,36.0,35.7,33.7,25.7,22.5,16.0,2.8,5.3,8.7,10.8,6.4,3.6,1.3,1.4,1.2,0.2,0.3,0.8,0.516,0.528,0.562,4.4,2.6,1.8,64.2,20.800000000000004,16.799999999999997,0.40031152647975077,2024
BOS,Jayson Tatum,Jaylen Brown,Jrue Holiday,35.7,33.5,32.8,26.9,23.0,12.5,8.1,5.5,5.4,4.9,3.6,4.8,1.0,1.2,0.9,0.6,0.5,0.8,0.552,0.557,0.581,2.5,2.4,1.8,62.4,13.3,19.0,0.43108974358974356,2024
BRK,Mikal Bridges,Dennis Schröder,Cam Thomas,34.8,32.0,31.4,19.6,14.6,22.5,4.5,3.5,3.2,3.6,6.0,2.9,1.0,0.6,0.7,0.4,0.3,0.2,0.521,0.507,0.503,2.0,2.4,1.9,56.7,12.5,11.2,0.345679012345679,2024
CHI,DeMar DeRozan,Coby White,Zach LaVine,37.8,36.5,34.9,24.0,19.1,19.5,4.3,4.5,5.2,5.3,5.1,3.9,1.1,0.7,0.8,0.6,0.2,0.3,0.507,0.534,0.531,1.7,2.1,2.1,62.6,14.299999999999999,14.0,0.38338658146964855,2024
CHO,Miles Bridges,LaMelo Ball,Brandon Miller,37.4,32.3,32.2,21.0,23.9,17.3,7.3,5.1,4.3,3.3,8.0,2.4,0.9,1.8,0.9,0.5,0.2,0.6,0.527,0.515,0.524,2.0,3.8,1.8,62.2,13.700000000000001,16.7,0.337620578778135,2024
CLE,Donovan Mitchell,Darius Garland,Max Strus,35.3,33.4,32.0,26.6,18.0,12.2,5.1,2.7,4.8,6.1,6.5,4.0,1.8,1.3,0.9,0.5,0.1,0.4,0.545,0.524,0.533,2.8,3.1,1.6,56.8,16.6,12.6,0.4683098591549296,2024
DAL,Luka Dončić,Kyrie Irving,P.J. Washington,37.5,35.0,32.2,33.9,25.6,11.7,9.2,5.0,6.2,9.8,5.2,1.5,1.4,1.3,1.2,0.5,0.5,0.9,0.573,0.573,0.508,4.0,1.8,1.0,71.2,16.5,20.4,0.47612359550561795,2024
DEN,Nikola Jokić,Michael Porter Jr.,Kentavious Caldwell-Pope,34.6,31.7,31.6,26.4,16.7,10.1,12.4,7.0,2.4,9.0,1.5,2.4,1.4,0.5,1.3,0.9,0.7,0.6,0.612,0.586,0.566,3.0,1.1,1.0,53.199999999999996,12.9,21.799999999999997,0.4962406015037594,2024
DET,Cade Cunningham,Isaiah Stewart,Jalen Duren,33.5,30.9,29.1,22.7,10.9,13.8,4.3,6.6,11.6,7.5,1.6,2.4,0.9,0.4,0.5,0.4,0.8,0.8,0.5,0.575,0.619,3.4,1.4,2.1,47.400000000000006,11.5,22.5,0.4789029535864978,2024
GSW,Stephen Curry,Klay Thompson,Draymond Green,32.7,29.7,27.1,26.4,17.9,8.6,4.5,3.3,7.2,5.1,2.3,6.0,0.7,0.6,1.0,0.4,0.5,0.9,0.573,0.551,0.566,2.8,1.5,2.5,52.9,13.399999999999999,15.0,0.499054820415879,2024
HOU,Fred VanVleet,Alperen Şengün,Jabari Smith Jr.,36.8,32.5,31.9,17.4,21.1,13.7,3.8,9.3,8.1,8.1,5.0,1.6,1.4,1.2,0.7,0.8,0.7,0.8,0.527,0.553,0.537,1.7,2.6,1.2,52.2,14.7,21.200000000000003,0.3333333333333333,2024
IND,Tyrese Haliburton,Pascal Siakam,Aaron Nesmith,32.2,31.8,27.7,20.1,21.3,12.2,3.9,7.8,3.8,10.9,3.7,1.5,1.2,0.8,0.9,0.7,0.4,0.7,0.57,0.579,0.606,2.3,1.4,0.9,53.60000000000001,16.1,15.5,0.37499999999999994,2024
LAC,Kawhi Leonard,James Harden,Paul George,34.3,34.3,33.8,23.7,16.6,22.6,6.1,5.1,5.2,3.6,8.5,3.5,1.6,1.1,1.5,0.9,0.8,0.5,0.585,0.541,0.569,1.8,2.6,2.1,62.9,15.6,16.4,0.3767885532591415,2024
LAL,Anthony Davis,LeBron James,D'Angelo Russell,35.5,35.3,32.7,24.7,25.7,18.0,12.6,7.3,3.1,3.5,8.3,6.3,1.2,1.3,0.9,2.3,0.5,0.5,0.567,0.599,0.56,2.1,3.5,2.1,68.4,18.1,23.0,0.36111111111111105,2024
MEM,Desmond Bane,Jaren Jackson Jr.,Marcus Smart,34.4,32.2,30.3,23.7,22.5,14.5,4.4,5.5,2.7,5.5,2.3,4.3,1.0,1.2,2.1,0.5,1.6,0.3,0.552,0.494,0.519,2.7,2.4,3.1,60.7,12.1,12.600000000000001,0.3904448105436573,2024
MIA,Jimmy Butler,Bam Adebayo,Tyler Herro,34.0,34.0,33.5,20.8,19.3,20.8,5.3,10.4,5.3,5.0,3.9,4.5,1.3,1.1,0.7,0.3,0.9,0.1,0.537,0.529,0.531,1.7,2.3,2.2,60.900000000000006,13.4,21.0,0.34154351395730703,2024
MIL,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,35.3,35.2,30.5,24.3,30.4,12.5,4.4,11.5,5.2,7.0,6.5,1.6,1.0,1.2,0.5,0.2,1.1,2.4,0.51,0.624,0.583,2.6,3.4,1.0,67.2,15.1,21.1,0.36160714285714285,2024
MIN,Anthony Edwards,Rudy Gobert,Karl-Anthony Towns,35.1,34.1,32.7,25.9,14.0,21.8,5.4,12.9,8.3,5.1,1.3,3.0,1.3,0.7,0.7,0.5,2.1,0.7,0.522,0.661,0.575,3.1,1.6,2.9,61.7,9.399999999999999,26.6,0.419773095623987,2024
NOP,Brandon Ingram,CJ McCollum,Zion Williamson,32.9,32.7,31.5,20.8,20.0,22.9,5.1,4.3,5.8,5.7,4.6,5.0,0.8,0.9,1.1,0.6,0.6,0.7,0.534,0.572,0.573,2.5,1.7,2.8,63.699999999999996,15.3,15.2,0.326530612244898,2024
