team,three_pt_rate,three_pt_pct,ft_rate,tov_per_game,Pace,TS%,opp_three_pt_rate_allowed,opp_three_pt_pct_allowed,season
SAC,0.4229024943310657,0.369,0.28458049886621317,13.5,100.3,0.608,0.3757030371203599,0.373,2023
GSW,0.4789356984478936,0.385,0.22394678492239467,16.3,101.6,0.6,0.39226519337016574,0.364,2023
ATL,0.33008658008658004,0.352,0.24458874458874458,12.9,100.7,0.579,0.3713968957871397,0.356,2023
BOS,0.47972972972972977,0.377,0.24324324324324326,13.4,98.5,0.6,0.37361419068736146,0.345,2023
OKC,0.3682505399568035,0.356,0.25593952483801297,13.0,101.1,0.57,0.4072398190045249,0.358,2023
LAL,0.350561797752809,0.346,0.298876404494382,14.1,101.3,0.582,0.3887113951011714,0.344,2023
UTA,0.420935412026726,0.353,0.2650334075723831,15.4,100.5,0.584,0.37663755458515286,0.361,2023
MEM,0.37133550488599354,0.351,0.25841476655808904,13.6,101.1,0.57,0.4075723830734967,0.355,2023
MIL,0.4457964601769911,0.368,0.247787610619469,14.6,100.5,0.583,0.36587982832618027,0.354,2023
IND,0.4129464285714286,0.367,0.2645089285714286,14.9,101.1,0.581,0.3729003359462486,0.373,2023
NYK,0.39932885906040266,0.354,0.28523489932885904,13.0,97.1,0.577,0.41383219954648526,0.357,2023
DEN,0.3611111111111111,0.379,0.25925925925925924,14.5,98.1,0.601,0.37871853546910755,0.344,2023
MIN,0.3810068649885583,0.365,0.27116704805491987,15.3,101.0,0.592,0.3754227733934611,0.369,2023
PHI,0.38902147971360385,0.387,0.29952267303102625,13.7,96.9,0.608,0.39110070257611235,0.348,2023
NOP,0.3436073059360731,0.364,0.2785388127853881,14.6,99.1,0.582,0.41570438799076215,0.339,2023
DAL,0.48635824436536185,0.371,0.29774614472123373,12.2,96.6,0.599,0.3677494199535963,0.352,2023
PHO,0.36182019977802443,0.374,0.24084350721420644,13.5,98.2,0.57,0.3725261932479627,0.357,2023
LAC,0.38792102206736356,0.381,0.2775842044134727,14.2,98.0,0.588,0.3782559456398641,0.365,2023
POR,0.41334894613583134,0.365,0.28805620608899296,14.5,98.6,0.589,0.3782857142857143,0.379,2023
BRK,0.3971797884841363,0.378,0.25969447708578147,13.7,98.3,0.598,0.3638418079096046,0.367,2023
WAS,0.3647871116225546,0.356,0.2577675489067894,14.1,98.6,0.585,0.36525612472160357,0.366,2023
CHI,0.33294930875576034,0.361,0.2511520737327189,13.4,98.5,0.587,0.42594718714121704,0.357,2023
SAS,0.347732181425486,0.345,0.2289416846652268,15.3,101.6,0.554,0.3549450549450549,0.391,2023
TOR,0.35049288061336253,0.335,0.25629791894852133,11.7,97.1,0.555,0.39611178614823817,0.374,2023
CLE,0.37089201877934275,0.367,0.2640845070422535,13.3,95.7,0.59,0.3664670658682635,0.368,2023
ORL,0.3603707995365006,0.346,0.28968713789107764,15.1,99.3,0.573,0.4257767548906789,0.351,2023
CHO,0.35951327433628316,0.33,0.2610619469026549,14.2,100.8,0.55,0.3806881243063263,0.357,2023
HOU,0.358830146231721,0.327,0.28458942632170975,16.2,99.0,0.554,0.44040862656072643,0.374,2023
DET,0.3719862227324914,0.351,0.29506314580941445,15.1,99.0,0.561,0.3779795686719637,0.36,2023
MIA,0.4079718640093786,0.344,0.2696365767878077,13.5,96.3,0.574,0.4302884615384615,0.367,2023
IND,0.38079827400215743,0.374,0.22114347357065803,12.9,101.7,0.606,0.32628062360801785,0.365,2024
BOS,0.4711751662971175,0.388,0.22394678492239467,11.9,97.2,0.609,0.4006550218340612,0.352,2024
OKC,0.3829787234042554,0.389,0.24076147816349386,12.7,99.8,0.608,0.4165733482642778,0.361,2024
MIL,0.4305084745762712,0.373,0.27005649717514124,12.9,99.9,0.601,0.3841131664853101,0.356,2024
ATL,0.4075675675675676,0.364,0.2508108108108108,13.5,100.1,0.576,0.4035476718403547,0.384,2024
LAL,0.3588571428571428,0.377,0.2765714285714286,14.0,100.9,0.601,0.4044823906083244,0.376,2024
DAL,0.44035674470457076,0.369,0.2508361204013378,12.5,100.1,0.592,0.3938053097345133,0.368,2024
GSW,0.42467248908296945,0.38,0.2183406113537118,14.3,99.2,0.586,0.40929203539823006,0.359,2024
SAC,0.4323432343234323,0.366,0.22992299229922988,13.1,98.8,0.582,0.38940092165898615,0.387,2024
PHO,0.37862950058072015,0.382,0.27177700348432055,14.9,98.3,0.603,0.3973509933774835,0.364,2024
UTA,0.40600667408231367,0.354,0.25139043381535037,15.7,99.5,0.579,0.40829694323144106,0.395,2024
LAC,0.3829296424452134,0.381,0.2560553633217993,13.1,97.2,0.599,0.39820022497187846,0.363,2024
NOP,0.3729977116704805,0.383,0.2608695652173913,13.0,97.9,0.591,0.443298969072165,0.349,2024
DEN,0.35135135135135137,0.374,0.22409909909909909,12.6,96.8,0.589,0.3583617747440273,0.355,2024
